# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,1.0
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-78.6174448290867,71,Terminated: Crash
1,-139.5686015028502,87,Terminated: Crash
2,-70.78698673034039,87,Terminated: Crash
3,-117.75521257824049,61,Terminated: Crash
4,-137.6987888133905,122,Terminated: Crash
5,-372.70713728574884,88,Terminated: Out of view
6,-45.66772106687848,92,Terminated: Crash
7,-72.12022144870087,192,Terminated: Crash
8,-19.03644620730816,100,Terminated: Crash
9,-129.2885433359605,125,Terminated: Crash
10,-136.77424487008477,89,Terminated: Crash
11,-73.40383501190925,114,Terminated: Crash
12,-91.56290067627896,146,Terminated: Crash
13,-121.03039764906538,172,Terminated: Crash
14,-89.31129810909385,127,Terminated: Crash
15,-203.77836565668048,150,Terminated: Crash
16,-111.81712129468906,131,Terminated: Crash
17,-147.72963961649396,107,Terminated: Crash
18,-103.14856938355163,117,Terminated: Crash
19,-325.7586834080265,82,Terminated: Out of view
20,-103.62946464010318,153,Terminated: Crash
21,-19.66011324215583,222,Terminated: Crash
22,-480.6376446843464,99,Terminated: Out of view
23,-457.43798433642223,104,Terminated: Out of view
24,-272.9687933560323,99,Terminated: Crash
25,-264.7793224964346,120,Terminated: Crash
26,-10.333224213737294,999,Truncated: Sleep
27,-181.53373319172414,831,Terminated: Crash
28,-61.66111505865551,131,Terminated: Crash
29,-176.23022840791145,695,Terminated: Crash
30,-222.59488969904453,769,Terminated: Crash
31,-196.63229971641795,606,Terminated: Crash
32,-186.01378725977872,546,Terminated: Crash
33,-155.37995413665104,557,Terminated: Crash
34,-186.36283993042008,543,Terminated: Crash
35,-128.05225816224427,605,Terminated: Crash
36,-160.5990486813626,969,Terminated: Crash
37,-112.32952941448153,724,Terminated: Crash
38,-58.6503249336604,999,Truncated: Sleep
39,-136.1431237060832,639,Terminated: Crash
40,-139.12920115090398,999,Truncated: Sleep
41,27.09388483995357,999,Truncated: Sleep
42,-53.59509551105129,999,Truncated: Sleep
43,-86.06969685665796,999,Truncated: Sleep
44,-75.27869218741881,999,Truncated: Sleep
45,-95.39789728390672,999,Truncated: Sleep
46,-23.438402010956228,999,Truncated: Sleep
47,-55.03982736320046,999,Truncated: Sleep
48,-86.71387590031905,999,Truncated: Sleep
49,-30.388345454420193,999,Truncated: Sleep
50,-42.63745086557984,999,Truncated: Sleep
51,-65.7436125147305,999,Truncated: Sleep
52,-22.03314845868658,999,Truncated: Sleep
53,-57.632305771594794,999,Truncated: Sleep
54,-25.61839728884675,999,Truncated: Sleep
55,-0.4115199896577919,999,Truncated: Sleep
56,-38.64277760466942,999,Truncated: Sleep
