LIBELLE,SERVICE,latitude,longitude,retard_moyen
LA DOUZILLERE,National,47.338661,0.653001,
CH ATILLON SUR SEINE,National,47.870404,4.551565,
CH ATILLON SUR SEINE,National,47.870196,4.571595,
CH ATILLON SUR SEINE,National,47.875338,4.575399,
LA DEFENSE,National,48.893437,2.238472,
BYANS,National,47.118329,5.852088,
CHAMELET,National,45.98167,4.507016,
L HERMITAGE MORDELLES,National,48.123336,-1.819212,
CH ALONS EN CHAMPAGNE,National,48.955278,4.348974,
HOERDT,National,48.703098,7.779769,
FLEZ CUZY TANNAY,National,47.363017,3.615135,
AIRE SUR LA LYS,National,50.641305,2.405933,
BASSENS APPONTEMENTS,National,44.884776,-0.530997,
BASSENS APPONTEMENTS,National,44.899856,-0.522541,
PLOUARET TREGOR,National,48.606291,-3.457984,
PLOUARET TREGOR,National,48.606506,-3.470756,
CADAUJAC,National,44.751984,-0.537924,
CREIL,National,49.264337,2.469339,
CHAMPAGNE,National,48.019992,0.3360349999999999,
VERN,National,48.046975,-1.596591,
STE GENEVIEVE DES BOIS,National,48.652126,2.311349,
HAGUENAU,National,48.828951,7.741946,
HAGUENAU,National,48.813269,7.782383,
HAGUENAU,National,48.810012,7.782988999999999,
HAGUENAU,National,48.813379,7.782165,
ISSY VAL DE SEINE,National,48.829206,2.263062,
VERGEZE CODOGNAN,National,43.739779,4.219113,
CHAMPLAN,National,48.709291,2.279341,
WITTRING,National,49.055958,7.14082,
HOCHFELDEN,National,48.755138,7.572162,
ST ROCH (SOMME),National,49.893141,2.28347,
ST ROCH (SOMME),National,49.893238,2.283688,
VILLENEUVE ST GEORGES,National,48.731436,2.446379,
CHAVANGES,National,48.508316,4.586064,
REICHSHOFFEN USINES,National,48.919433,7.652437,
CAUSSADE,National,44.161286,1.533047,
BELLEGARDE,National,46.110517,5.825677,
BELLEGARDE,National,46.113539,5.82467,
MONTREUIL SUR MER,National,50.466373,1.769018,
LUCE,National,48.436708,1.453018,
US,National,49.099575,1.970571,
FOSSE MAROLLES,National,47.638048,1.292696,
LAUTERBOURG,National,48.96717,8.182588,
ST LEON SUR L ISLE,National,45.123255,0.492394,
STE COLOMBE,National,46.879202,6.266118,
FOUG,National,48.679229,5.791097,
VAUDAGNE,National,45.908833,6.772719,
SALLAUMINES,National,50.417577,2.853313,
LA BOUTEILLE,National,49.860132,3.98278,
ERAGNY NEUVILLE,National,49.018075,2.090693,
BUGEAT,National,45.600671,1.924701,
BIARRITZ,National,43.459039,-1.546701,
AIX LES BAINS LE REVARD,National,45.688112,5.908901,
AIX LES BAINS LE REVARD,National,45.688219,5.908892,
TERGNIER,National,49.657025,3.296029,
TERGNIER,National,49.659396,3.296711,
ELNE,National,42.597389,2.963324,
ELNE,National,42.597193,2.963483,
AIX LES BAINS LE REVARD,National,45.688112,5.908901,
AIX LES BAINS LE REVARD,National,45.688219,5.908892,
MONTPELLIER SUD DE FRANCE,National,43.590594,3.913503,
DREUX,National,48.729686,1.366573,
DREUX,National,48.742982,1.391676,
DREUX,National,48.731061,1.370483,
LABOISSIERE LE DELUGE,National,49.288495,2.136162,
VERVINS,National,49.830061,3.893379,
LIVRY SUR SEINE,National,48.510373,2.678951,
LES AUBRAIS ORLEANS,National,47.926275,1.906181,
LES AUBRAIS ORLEANS,National,47.927084,1.906384,
